post_id,target_username,author_username,created_at_jst,post_date_jst,tweet_url,text
2041531865086169147,4th_skywalker,4th_skywalker,2026-04-08 00:01:41,2026-04-08,https://x.com/4th_skywalker/status/2041531865086169147,"スペースXが買いたいすぎて
持ち株売ってるのかしらｗ🍵ｼﾞﾌﾞﾝｽｷﾞﾙｗｗｗ"
2041533133875773637,4th_skywalker,4th_skywalker,2026-04-08 00:06:43,2026-04-08,https://x.com/4th_skywalker/status/2041533133875773637,https://t.co/Pu0cFQLQUT
2041533727436837045,4th_skywalker,4th_skywalker,2026-04-08 00:09:05,2026-04-08,https://x.com/4th_skywalker/status/2041533727436837045,https://t.co/zAtILbT9xW
2041534218283720726,4th_skywalker,4th_skywalker,2026-04-08 00:11:02,2026-04-08,https://x.com/4th_skywalker/status/2041534218283720726,"トランピーの文句言ってる奴なんて
俺からしたらただの雑魚だという認識
地球は極楽ではない
戦場である
奪い合いの街角である
領土だって人間だって
オイルだって半導体だって奪い合う
いちいち正義面こくな雑魚
正しい人間なんていねえ🍵ｼﾝﾘﾔﾅｗ"
2041534733834928147,4th_skywalker,4th_skywalker,2026-04-08 00:13:05,2026-04-08,https://x.com/4th_skywalker/status/2041534733834928147,"身近じゃ庶民がどうのこうの
遠目に貧しい国の人らがどうのこうの
つうかさ
俺たちはそいつらの働きによって裕福なのだよ
今更何を言っているのか
謎である🍵ﾃﾞｽﾈｴｗ"
2041535482421776431,4th_skywalker,4th_skywalker,2026-04-08 00:16:03,2026-04-08,https://x.com/4th_skywalker/status/2041535482421776431,"ナイジェリアで原油がとれても
ナイジェリア国民の大半は裕福じゃないから
白人は裕福なんでしょ
んなこともわからんのかな
コーヒーうんめーうんめーとか
それ誰が幾らでつくってるんだ一体
貧しい人間が大勢いるから
俺たちがうんめーうんめーしておるのである🍵ﾏｼﾞﾀﾞﾅｗ"
2041536109889626177,4th_skywalker,4th_skywalker,2026-04-08 00:18:33,2026-04-08,https://x.com/4th_skywalker/status/2041536109889626177,"なぜ
人はいつも正しい側にいようとするのだろうか
正しい側にいたいと願うのだろうか
正しい側ってどこだ
そんなものはどこにもありはしない
正しいってなんだ
誰かにとって
それが利益になるのかどうかで決まるものである"
2041536719305285694,4th_skywalker,4th_skywalker,2026-04-08 00:20:58,2026-04-08,https://x.com/4th_skywalker/status/2041536719305285694,"俺たちは正しいのではなく
俺たちにとって利益になることを
正しいと解釈しているにすぎない
口だけ達者な大勢が望む正しい側は幻想であり
偽善なのだよ
トランピーはけしからん！
じゃあ
お前はけしからんくないのか
お前は誰なんだ
お前は何をやっているのか
何一つ
人類の未来に貢献することもせず"
2041537209430650972,4th_skywalker,4th_skywalker,2026-04-08 00:22:55,2026-04-08,https://x.com/4th_skywalker/status/2041537209430650972,"さらに大勢は
みんながこう言っているから
ニュースでこう言っていたから
誰々ももう言っていたから
だからそれが間違いで
これが正しいというわけだろう
何だお前は
自分で考える能力すら持ち合わせておらず
まさにゴミのような存在じゃないか
生きている意味がすでにない"
2041538298653577724,4th_skywalker,4th_skywalker,2026-04-08 00:27:15,2026-04-08,https://x.com/4th_skywalker/status/2041538298653577724,"この宇宙では
その他大勢の意見など
無意味なのです
実際に動かしているごく少数の人間同士が物事を決め
その他大勢はワーワー喚くだけ
その他大勢は自分たちが主役になった気になっているようじゃが
砂粒のように儚く無力である
そうして死んでいく
何も達成されることはなく"
2041539110834503925,4th_skywalker,4th_skywalker,2026-04-08 00:30:28,2026-04-08,https://x.com/4th_skywalker/status/2041539110834503925,"前も大勢いたじゃん
安倍がー安倍がーってさ
そいつらってどうなったとおもいます？
貴重な人生の時間を無駄にして
精神は崩壊
つまらない人生をひっそりと閉じたか
そのうち閉じます
救いなどありませんよ
何一つ幸福を創造することもありませんでした
悲惨ですね
南無です🍵ｱｯｶﾝｽｷﾞﾙｗｗｗ"
2041539976794701968,4th_skywalker,4th_skywalker,2026-04-08 00:33:55,2026-04-08,https://x.com/4th_skywalker/status/2041539976794701968,"たいした押し目でもないな
まぁもう茶番も飽きてる動きですし
暖かくなったらみんな遊びに行くことに夢中で覚えてないから
茶番とかｗ🍵ﾃﾞｽﾈｴｗ"
2041540770839368082,4th_skywalker,4th_skywalker,2026-04-08 00:37:04,2026-04-08,https://x.com/4th_skywalker/status/2041540770839368082,"つうか
スペースXっていくらなんだｗ🍵ｼﾗﾈｴﾖｗ"
2041541765187137862,4th_skywalker,4th_skywalker,2026-04-08 00:41:01,2026-04-08,https://x.com/4th_skywalker/status/2041541765187137862,https://t.co/MCBqfsmEAj
